raw_street,raw_area
40 Lisle Farm Drive,"Pukekohe, Auckland South"
4 Flock Street,"Rolleston, Canterbury"
8 Wigmore Crescent,"Rolleston, Canterbury"
39 Glenpark Crescent,"Bethlehem, Tauranga, Bay of Plenty"
20 Ryle Street,"Freemans Bay, Auckland, Auckland City"
11 Malone Crescent,"Richmond, Nelson, Nelson/Marlborough"
44 Ken Douglas Drive,"Aotea, Porirua, Wellington"
39 Sir Bob Charles Drive,"Masterton, Wairarapa"
122 Union Drive,"Papamoa, Bay of Plenty"
128 Domain Crescent,"Muriwai, Auckland North Shore"
24B Bowen Street,"Upper Riccarton, Christchurch, Canterbury"
26 Te Ahiawa Road,"Raglan, Waikato"
12 Pinefield Road,"Whenuapai, Auckland, Auckland West"
4 Membery Lane,"Patumahoe, Pukekohe, Auckland South"
100 Blairlogie Close,"Otatara, Invercargill, Southland"
Colombo Street,"Christchurch Central, Christchurch, Canterbury"
3 Stratton Street,"Normandale, Lower Hutt, Wellington"
488 Portobello Road,"Macandrew Bay, Dunedin, Otago"
5 Lindis Road,"Wanaka, Otago"
9 Havana Rise,"Grenada Village, Wellington, Wellington"
201 Verdeco Boulevard,"Lincoln, Canterbury"
118C Hynds Road,"Gate Pa, Tauranga, Bay of Plenty"
23 Sycamore Grove,"Lower Vogeltown, New Plymouth, Taranaki"
81B Denbigh Street,"Feilding, Manawatu/Whanganui"
68-78 Gimblett Street,"Waikiwi, Invercargill, Southland"
86 Faulks Drive,"Lincoln, Canterbury"
23 Montgomery Crescent,"Bader, Hamilton, Waikato"
3 Selleck Street,"Mount Pleasant, Christchurch, Canterbury"
93 Leistrella Road,"Hoon Hay, Christchurch, Canterbury"
47 Clydesdale Way,"Lincoln, Canterbury"
1019 Kauri Street,"Mahora, Hastings, Hawkes Bay/Gisborne"
Baylys Coast Road,"Dargaville, Northland"
45 Streamside Terrace,"Kaiapoi, Canterbury"
3 Vintry Drive,"Kumeu, Auckland West"
52 Robinson Avenue,"Holdens Bay, Rotorua, Bay of Plenty"
95A Northside Drive,"Westgate, Auckland, Auckland West"
38 Edith Collier Drive,"Otamatea, Whanganui, Manawatu/Whanganui"
42 Oranga Street,"Marfell, New Plymouth, Taranaki"
10 Dellaca Lane,"Hornby, Christchurch, Canterbury"
77A Percy Road,"Papamoa Beach, Papamoa, Bay of Plenty"
1 Geordie Street,"Henderson, Auckland, Auckland West"
26E Bayne Terrace,"Macandrew Bay, Dunedin, Otago"
264B Otipua Road,"Highfield, Timaru, Canterbury"
126C Western Springs Road,"Western Springs, Auckland, Auckland City"
74 North Street,"Palmerston North, Manawatu/Whanganui"
Cliff Road,"Fitzherbert, Palmerston North, Manawatu/Whanganui"
22 Russell Street,"Picton, Nelson/Marlborough"
9 Maunganamu Drive,"Wharewaka, Taupo, Waikato"
Springfield Road,"St Albans, Christchurch, Canterbury"
66 Meeane Road,"Taradale, Napier, Hawkes Bay/Gisborne"
14 Arawai Terrace,"Papakura, Auckland, Auckland South"
45 Takahiwai Road,"Ruakaka, Whangarei, Northland"
15 Wai Iti Avenue,"Redwoodtown, Blenheim, Nelson/Marlborough"
3/205 Oliver Road,"Te Miro, Cambridge, Waikato"
Woodlands Road,"Parkside, Timaru, Canterbury"
57 Botanical Heights Drive,"Waipahihi, Taupo, Waikato"
"6 Ko Street, Kaka Street, Potter Avenue, Greenslade Crescent","Northcote, Auckland, Auckland North Shore"
245 Pheney Road,"Hurford, New Plymouth, Taranaki"
11 Swyncombe Place,"Kaikoura Flat, Kaikoura, Canterbury"
96 Hall Road,"Ngongotaha, Rotorua, Bay of Plenty"
28 Terry Came Drive,"Cambridge, Waikato"
2 Marine Corps Drive,"Solway, Masterton, Wairarapa"
5 Helena Road,"Hillcrest, Hamilton, Auckland North Shore"
2 Murray Road,"Otara, Auckland, Auckland South"
93 Hunter Drive,"Awatoto, Napier, Hawkes Bay/Gisborne"
10 Blake Street,"Surfdale, Waiheke Island, Auckland City"
Moroa Road,"Greytown, Wairarapa, Wairarapa"
26 Empire Crescent,"Papamoa, Bay of Plenty"
8 Tiraumea Drive,"Pakuranga, Auckland, Auckland South"
Coleridge Road,"Snowdon, Lake Coleridge, Canterbury"
10 Monilia Way,"Papamoa Beach, Papamoa, Bay of Plenty"
197 Lake Hood Drive,"Huntingdon, Ashburton, Canterbury"
81 Rathmullen Place,"Pinehill, Auckland, Auckland North Shore"
41-57 Fred Taylor Drive & 41 Spring Garden Road,"Westgate, Auckland, Auckland West"
12A Dyer Street,"Epuni, Lower Hutt, Wellington"
19 Te Kokoru Place,"Ngunguru, Whangarei, Northland"
Monowai Road,"Wainui, Auckland, Auckland North Shore"
314 Hursthouse Road,"Tarurutangi, New Plymouth, Taranaki"
106 O'Shea Road,"Pirongia, Waikato"
32 Layby Lane,"Kamo, Whangarei, Northland"
39A Formby Street,"Outram, Otago"
20 Hass Drive,"Ohauiti, Tauranga, Bay of Plenty"
19 Waikare Street,"Karori, Wellington, Wellington"
3 Gardner Place,"Otaki, Kapiti Coast, Wellington"
7 Kokotea Road,"Massey, Auckland, Auckland West"
19 Francis Road,"Paraparaumu Beach, Paraparaumu, Wellington"
3 Kain Street,"Mt Eden, Auckland, Auckland City"
99 St Georges Road,"Avondale, Auckland, Auckland City"
76 Wainui Road,"Silverdale, Auckland North Shore"
63 Red Beech Avenue,"Woodridge, Wellington, Wellington"
58 Watkins Road,"Cambridge, Waikato"
177 Burgesses Road,"Clarkville, Kaiapoi, Canterbury"
9 Banded Place,"Rolleston, Canterbury"
7 Anaru Road,"Lincoln, Canterbury"
38A Sands Road,"Glenbervie, Northland"
11A Falstone Lane,"Browns Bay, Auckland, Auckland North Shore"
31 Tuaraki Drive,"Wellsford, Auckland North Shore"
239 Oceanbeach Road,"Mt Maunganui, Bay of Plenty"
51 Glendevon Place,"Vauxhall, Dunedin, Otago"
49 Ranginui Drive,"Kaiapoi, Canterbury"
